Implementation,Size,Distribution,Threads,BlockSize,AvgTime(ms)
CUDA,64000000,nearly_sorted,1,512,924.3871
CUDA,1000000,reversed,1,128,46.6295
CUDA,1000000,reversed,1,256,43.6032
CUDA,1000000,reversed,1,512,37.3813
CUDA,4000000,reversed,1,128,70.6217
CUDA,4000000,reversed,1,256,69.1412
CUDA,4000000,reversed,1,512,69.0163
CUDA,16000000,reversed,1,128,220.1858
CUDA,16000000,reversed,1,256,220.3502
CUDA,16000000,reversed,1,512,216.9390
CUDA,64000000,reversed,1,128,898.9618
CUDA,64000000,reversed,1,256,866.1705
CUDA,64000000,reversed,1,512,885.4061
